current_location	address	registration	user_id	mail	residence	name	job	username	company	blood_group	ssn	station_ID
(Decimal('-88.655900'), Decimal('8.497022'))	徳島県台東区横林34丁目4番19号 シャルム松浦町820	17 Dec 2021	1238	hidekiota@gmail.com		渡辺 千代		nanamimatsumoto	山下建設株式会社	A+	375-90-7943	413
(Decimal('-3.0998405'), Decimal('-70.170520'))	"Esplanada de Almeida, 14
Madre Gertrudes
42771033 Martins do Amparo / PR"	23 Oct 2021	1519	oliveirajoana@ig.com.br		Manuela da Rocha		ayla13	Macedo	O+	23194867555	152
(Decimal('-72.8233175'), Decimal('-94.471642'))	"Sítio Olívia da Rocha, 25
Itaipu
74280-277 Leão / CE"	2021/09/05	48	vieirathiago@ig.com.br		Calebe Silva	Diarista	josenovaes	Rios	A+	70283491604	364
(Decimal('-71.6416525'), Decimal('-140.137771'))	岐阜県葛飾区脚折町29丁目1番7号 吾妻橋シティ163	12/13/2020, 00:00:00	2087	iabe@hotmail.com		藤井 充		rnakajima	株式会社鈴木運輸	AB+	281-48-3271	4
(Decimal('-31.0846775'), Decimal('84.117281'))	"Estação Albuquerque
Conjunto Providencia
65055-418 Ramos do Galho / DF"	2020-08-20	1566	levivasconcelos@yahoo.com.br		Ana Vitória Dias		abreupedro	Lima	AB+	78592143004	386
(Decimal('73.023737'), Decimal('-50.125808'))	茨城県稲城市前弥六南町21丁目26番5号	02/12/2020, 00:00:00	1495	naoko34@yahoo.com		藤田 零		rika51	石井水産合同会社	O+	143-27-3020	195
(Decimal('-18.2620475'), Decimal('-16.038609'))	"Residencial Silva, 21
Vila Tirol
34608-986 das Neves / RR"	05/22/2022, 00:00:00	1107	borgesisaque@yahoo.com.br		João Miguel Camargo	Comandante	rgoncalves	da Mota	B-	14836527007	524
(Decimal('14.927349'), Decimal('140.778884'))	"Klappplatz 2/6
85065 Groß-Gerau"	2020-03-15	324	benthinilona@gmail.com		Thorsten Schinke	Winzer	wigbertpieper	Hesse GbR	A+	616-09-6377	300
(Decimal('49.6392095'), Decimal('164.542186'))	"203 Jessica Street Suite 076
Port Jacqueline, AK 41059"	01 Aug 2021	597	chad21@gmail.com		Ashley Walters	Banker	patricia80	Thomas-Rice	O+	749-12-4695	602
(Decimal('68.801082'), Decimal('-41.744060'))		2021-12-30	1898	qmortati@alice.it		Bartolomeo Grisoni		ricciotti40	Rossini-Bevilacqua e figli	AB-	PNZMRA48H12A889R	623
	"Incrocio Coriolano, 10 Appartamento 2
81036, San Cipriano D'Aversa (CE)"	2019-10-31	1990	tonia38@gmail.com		Matilda Torricelli-Niscoromni		sauroangelina	Farinelli-Gramsci s.r.l.	O+	BRLRSN20P10L410R	641
(Decimal('-7.088674'), Decimal('-117.262223'))	"Nikolaj-Striebitz-Gasse 2116
33546 Lüdinghausen"	29 Dec 2021	191	mstumpf@web.de		Prof. Birgitt Geißler B.A.		jacobi-jaeckelandrew	Pohl AG	O-	741-40-2760	87
(Decimal('-51.233964'), Decimal('-163.993552'))	大阪府香取郡多古町虎ノ門虎ノ門ヒルズ森タワー22丁目5番2号 シティ所野212	2021-06-14	469	hanakoyamamoto@hotmail.com		石川 聡太郎		ehayashi	小林水産有限会社	AB+	125-57-0095	526
(Decimal('-66.569019'), Decimal('-28.748779'))		07/09/2023, 00:00:00	239	montenegroluiz-henrique@uol.com.br		Luan Silveira		stellafonseca	Sá	AB+	14763529099	525
(Decimal('42.056465'), Decimal('174.319870'))	宮崎県八王子市東神田25丁目12番14号 高輪シティ254	2025-04-12	2123	kana11@hotmail.com		田中 花子		nanamisato	株式会社石井保険	O+	364-46-3262	43
(Decimal('-27.7589255'), Decimal('151.020526'))	"Canale Martino, 548 Appartamento 7
80017, Melito Di Napoli (NA)"	2021/03/14	1728	scandonebartolomeo@hotmail.com		Franco Pace-Monduzzi		antonellomarzorati	Cuomo-Praga Group	AB-	GHUSTL48M01F816A	550
(Decimal('11.839466'), Decimal('35.605651'))	"Strada Cirillo, 51
37057, San Giovanni Lupatoto (VR)"	2019/11/04	334	bspanevello@tin.it		Valentina Tarantini		giustinocostalonga	Mondaini, Mattarella e Tassoni s.r.l.	AB+	FLZPMN50L48G124U	101
(Decimal('-20.9364155'), Decimal('-51.247824'))		03 Feb 2019	2081	hellena10@yahoo.com.br		João Gabriel Novais	Lixeiro/Coletor de lixo	mbarbosa	Ramos	B+	53187946291	18
(Decimal('-73.207944'), Decimal('99.141736'))	"Vicolo Errani, 24
37041, Presina (VR)"	01/06/2024, 00:00:00	1362	barraccomichele@libero.it		Melina Perini-Virgilio		francescomoretti	Ricolfi, Sibilia e Martinelli s.r.l.	B-	SNTPRN48R26F939L	496
(Decimal('-73.386476'), Decimal('4.755784'))	秋田県印旛郡栄町東浅草30丁目13番16号	2023-01-08	2078	manabuyamada@gmail.com		松本 加奈		momokohayashi	合同会社佐藤銀行	B-	874-28-5115	132
(Decimal('-52.317315'), Decimal('98.412227'))	"Setor Borges, 638
Bonfim
12032-830 Freitas de Peixoto / RS"	2024/01/15	303	mendoncaluiz-henrique@ig.com.br		Júlia da Luz		matteomartins	Gomes	B+	72810495360	697
(Decimal('24.509328'), Decimal('-109.161531'))		2023/02/20	583	kevinfitzpatrick@gmail.com		Mark Hall		kellyellis	Kennedy and Sons	A-	713-12-6360	37
(Decimal('80.6931475'), Decimal('-16.375380'))	"Viale Micheletto, 992
72014, Casalini (BR)"	2018-12-01	2026	msaragat@alice.it		Gioele Spinola	Armed forces technical officer	aldo68	Antonelli, Mazzocchi e Alfonsi SPA	B-	GTASPH75E03A613U	122
(Decimal('35.6958605'), Decimal('132.991826'))	三重県中野区西関宿9丁目15番11号 雷門パレス722	2025-01-10	2116	rnakamura@gmail.com		山田 修平		mendo	石井農林有限会社	B-	468-44-2797	278
(Decimal('24.242501'), Decimal('-74.286326'))		08/21/2023, 00:00:00	766	scott40@hotmail.com		Kathleen Simpson		pwallace	Hickman, Hughes and Williams	A+	580-94-3656	354
(Decimal('-34.8239825'), Decimal('-28.775911'))	"38353 Christopher Villages
Perezfort, VI 66030"	2019-04-03	1060	austinbelinda@yahoo.com		Deborah Baker		oholmes	Campbell, Baker and Wade	O+	780-07-8327	489
(Decimal('73.4363315'), Decimal('175.314016'))		02 Jun 2020	393	vsato@hotmail.com		森 桃子		babe	合同会社遠藤印刷	B+	659-42-1693	708
(Decimal('12.9874935'), Decimal('110.836067'))	"Setor Macedo, 1
Vila Cloris
37496325 Pereira Grande / RS"	08/10/2023, 00:00:00	156	nogueiraleandro@uol.com.br		Srta. Isis Albuquerque		livia30	Rezende e Filhos	B+	76195024830	320
(Decimal('-3.4569125'), Decimal('-10.027682'))	"Unit 2282 Box 4177
DPO AP 21986"	08/24/2024, 00:00:00	893	aross@gmail.com		Michael Morris		jsanchez	Long Group	O+	065-05-2614	696
(Decimal('-34.629938'), Decimal('-134.758110'))	"Beierweg 41-54
63657 Pinneberg"	05/09/2021, 00:00:00	241	editbaum@yahoo.de		Bertram Hahn	Techniker	inaschaaf	Schinke Fechner GbR	O-	719-91-8705	264
(Decimal('64.582400'), Decimal('-156.242167'))		2022-12-11	907	davida-rosa@ig.com.br		Lorenzo Santos		mariana59	da Rosa da Costa - EI	AB-	26358497065	274
(Decimal('17.134313'), Decimal('-63.043654'))	"Vogtplatz 403
15027 Bad Kissingen"	23 Feb 2025	1001	samir49@yahoo.de		Ida Martin	Bankkaufmann	warmeriris	Adolph	A-	935-74-7073	404
(Decimal('41.2450505'), Decimal('98.424990'))		09/06/2020, 00:00:00	669	giorgionadi@tiscali.it		Baccio Sauro-Guidotti		lgiusti	Foconi-Antelami SPA	B+	TRTPRN90M70E498N	567
(Decimal('-37.2605985'), Decimal('-72.987938'))	"Ottfried-Wende-Gasse 8967
30750 Düren"	15 Jan 2019	1296	gunhildkoch-ii@gmx.de		Ing. Mechthilde Oestrovsky B.Eng.	Fleischer	diethelmwernecke	Tröst	A-	356-43-0156	146
